         18501500 function calls (16703748 primitive calls) in 629.123 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1065/873    0.002    0.000    0.005    0.000 artist.py:219(stale)
      231    0.000    0.000    0.001    0.000 artist.py:338(pchanged)
        4    0.000    0.000    0.000    0.000 artist.py:352(is_transform_set)
       48    0.000    0.000    0.001    0.000 artist.py:360(set_transform)
       15    0.000    0.000    0.000    0.000 artist.py:373(get_transform)
      177    0.001    0.000    0.002    0.000 artist.py:49(_stale_axes_callback)
       53    0.000    0.000    0.001    0.000 artist.py:673(set_figure)
        3    0.000    0.000    0.000    0.000 artist.py:697(set_clip_box)
       15    0.000    0.000    0.004    0.000 artist.py:709(set_clip_path)
       54    0.001    0.000    0.001    0.000 artist.py:74(__init__)
        2    0.000    0.000    0.000    0.000 artist.py:770(get_visible)
     1065    0.001    0.000    0.001    0.000 artist.py:774(get_animated)
        6    0.000    0.000    0.000    0.000 artist.py:893(set_alpha)
       67    0.000    0.000    0.001    0.000 artist.py:905(set_visible)
      110    0.001    0.000    0.006    0.000 artist.py:942(update)
       21    0.000    0.000    0.001    0.000 artist.py:946(_update_property)
      110    0.000    0.000    0.001    0.000 artist.py:974(<listcomp>)
        1    0.000    0.000    0.000    0.000 artist.py:985(set_label)
        4    0.000    0.000    0.000    0.000 axis.py:1026(_set_artist_props)
        8    0.000    0.000    0.000    0.000 axis.py:1388(get_major_locator)
        4    0.000    0.000    0.017    0.004 axis.py:1432(grid)
        4    0.000    0.000    0.000    0.000 axis.py:1462(<dictcomp>)
        6    0.000    0.000    0.001    0.000 axis.py:1480(update_units)
       12    0.000    0.000    0.000    0.000 axis.py:1502(_update_axisinfo)
        6    0.000    0.000    0.000    0.000 axis.py:1536(have_units)
       12    0.000    0.000    0.001    0.000 axis.py:1539(convert_units)
        6    0.000    0.000    0.000    0.000 axis.py:154(<dictcomp>)
       12    0.000    0.000    0.001    0.000 axis.py:1556(set_units)
       16    0.000    0.000    0.000    0.000 axis.py:1603(set_major_formatter)
       16    0.000    0.000    0.000    0.000 axis.py:1619(set_minor_formatter)
       16    0.000    0.000    0.000    0.000 axis.py:1635(set_major_locator)
       16    0.000    0.000    0.000    0.000 axis.py:1653(set_minor_locator)
        2    0.000    0.000    0.000    0.000 axis.py:1881(getter)
        3    0.000    0.000    0.009    0.003 axis.py:1928(_get_tick)
        1    0.000    0.000    0.000    0.000 axis.py:1935(_get_label)
        1    0.000    0.000    0.000    0.000 axis.py:1953(_get_offset_text)
        6    0.000    0.000    0.000    0.000 axis.py:198(_set_labelrotation)
        3    0.000    0.000    0.000    0.000 axis.py:2153(get_minpos)
        6    0.000    0.000    0.000    0.000 axis.py:216(get_tick_padding)
        3    0.000    0.000    0.008    0.003 axis.py:2218(_get_tick)
        1    0.000    0.000    0.000    0.000 axis.py:2225(_get_label)
        1    0.000    0.000    0.000    0.000 axis.py:2245(_get_offset_text)
        6    0.000    0.000    0.004    0.001 axis.py:230(set_clip_path)
        3    0.000    0.000    0.000    0.000 axis.py:2461(get_minpos)
       30    0.000    0.000    0.000    0.000 axis.py:325(_set_artist_props)
       14    0.000    0.000    0.008    0.001 axis.py:332(_apply_params)
       70    0.000    0.000    0.000    0.000 axis.py:340(<genexpr>)
       14    0.000    0.000    0.000    0.000 axis.py:359(<dictcomp>)
       14    0.000    0.000    0.000    0.000 axis.py:370(<dictcomp>)
       14    0.000    0.000    0.000    0.000 axis.py:381(<dictcomp>)
        3    0.000    0.000    0.000    0.000 axis.py:405(_get_text1_transform)
        3    0.000    0.000    0.000    0.000 axis.py:408(_get_text2_transform)
        3    0.000    0.000    0.000    0.000 axis.py:411(apply_tickdir)
        3    0.000    0.000    0.001    0.000 axis.py:425(_get_text1)
        3    0.000    0.000    0.001    0.000 axis.py:442(_get_text2)
        3    0.000    0.000    0.003    0.001 axis.py:458(_get_tick1line)
        3    0.000    0.000    0.002    0.001 axis.py:469(_get_tick2line)
        3    0.000    0.000    0.002    0.001 axis.py:484(_get_gridline)
        3    0.000    0.000    0.000    0.000 axis.py:500(update_position)
        3    0.000    0.000    0.000    0.000 axis.py:522(_get_text1_transform)
        3    0.000    0.000    0.000    0.000 axis.py:525(_get_text2_transform)
        3    0.000    0.000    0.000    0.000 axis.py:528(apply_tickdir)
        3    0.000    0.000    0.001    0.000 axis.py:543(_get_text1)
        3    0.000    0.000    0.001    0.000 axis.py:558(_get_text2)
        6    0.000    0.000    0.017    0.003 axis.py:56(__init__)
        3    0.000    0.000    0.002    0.001 axis.py:573(_get_tick1line)
        3    0.000    0.000    0.002    0.001 axis.py:588(_get_tick2line)
        3    0.000    0.000    0.002    0.001 axis.py:602(_get_gridline)
        3    0.000    0.000    0.000    0.000 axis.py:617(update_position)
      6/4    0.000    0.000    0.017    0.004 axis.py:658(__get__)
        2    0.000    0.000    0.003    0.002 axis.py:715(__init__)
        6    0.000    0.000    0.000    0.000 axis.py:792(get_transform)
        8    0.000    0.000    0.000    0.000 axis.py:795(get_scale)
       16    0.000    0.000    0.005    0.000 axis.py:798(_set_scale)
        6    0.000    0.000    0.000    0.000 axis.py:807(limit_range_for_scale)
